,tweet,Sentimento,data,usuario,nome,reply_user_id,reply_to_screen_name,n_retweets
39,"https://t.co/aoF2cqEX2s
Fintechs Brasil na coletiva do Banco Central sobre o PIX",1,2020-11-16 17:44:25,1295103618044047104,FintechsB,,,0
40,"Discutir a queda do capitalismo no Brasil desvinculado de raça, classe e gênero é no mínimo uma imbecilidade ou uma perda de tempo daqueles que acham que o marxismo é apenas ação européia e não referência teórica internacional.
https://t.co/FwljZGmA71",0,2020-11-21 17:19:58,1004826492524728064,melzinhamsm,,,0
41,"@igorlt Presta atenção se ao receber vão cobrar alguma coisa, porque ouvi na CNN Rádio hoje que os bancos conseguiram essa brecha com o Banco Central.",1,2020-11-17 00:20:01,20632829,VanderAbreu,15509258.0,igorlt,0
42,"Rede D’Or, Notredame, Qualicorp, Santander e mais: veja destaques de empresas
https://t.co/B5KPc6gMiA",1,2020-11-17 11:53:12,1113533606247436032,valorinveste,,,0
43,"#IBOV opera em queda de -0,01% cotado em 106.111 pontos, agora (15h54)

Principais altas do índice 📊: #PRIO3 #GOLL4 #CVCB3

Principais quedas do índice 📊: #BRFS3 #MRFG3 #COGN3",0,2020-11-19 18:54:20,88437022,mycapinvest,,,0
44,"A mão invisível do mercado é branca e está manchada de sangue

https://t.co/Sycs8HsT0M",0,2020-11-20 21:53:52,24813213,fabiolimamor,,,0
45,"@Redatora_que_le socorro eu falando de bolsa de valores, jamaaaaais hausahusuhaus
é world of warcraft. tá rolando um evento que tem um boss raro que tem chance de te dar uma bolsa maior q todas as outras no jogo, então... na falta do q fazer, to tentando pegar a bolsa em todos os meus personagens",2,2020-11-16 16:56:36,193310445,thaischristabel,1.306387475758227e+18,Redatora_que_le,0
46,"agora sou autor do PLP 27/2020 na Câmara dos Deputados e é fruto de um diálogo constante com a OCB e com o Banco Central. A ideia é modernizar a governança, profissionalizar ainda mais a gestão e trazer a possibilidade de novos negócios. Tenho certeza de que,",1,2020-11-20 15:19:39,53493125,ArnaldoJardim,53493125.0,ArnaldoJardim,0
47,"@FlaSaci @Rubro1981 Concordo com vc, mas nos últimos jogos ele jogou como central no ataque. Quando jogava assim com JJ metia logo um hat trick. Ele ta errando tudo que tenta, nitidamente o problema dele é psicológico. Ficar no banco, e jogar 30 min ja com o adversário cansado, é mais fácil tbm.",1,2020-11-21 15:29:52,1002924967057677952,RenanFlamengo,1.312882161738035e+18,FlaSaci,0
48,"@BREEZE_FPS @gonfps_ Breezin, me chama na dm viado, cheguei de viagem agora e to exausto, daí amanhã quando eu acordar já te falo sobre um curso bom e se quiser qualquer ajuda, sou ratinho da bolsa de valores.",2,2020-11-15 23:42:00,1095439127208750976,scrawfps,3288878266.0,BREEZE_FPS,0
49,"Oxfam Brasil classifica como “ato bárbaro” assassinato de homem negro em unidade Carrefour
https://t.co/sLefpzlUvL",1,2020-11-20 20:14:33,1113533606247436032,valorinveste,,,1
50,"O Pix, novo sistema de pagamento instantâneo brasileiro, estreou nesta segunda-feira com mais de 30 milhões de pessoas cadastradas. A tecnologia desenvolvida pelo Banco Central já está disponível para clientes de vários bancos. https://t.co/R6dJwhFgig",1,2020-11-17 11:20:24,117475826,redeocpnews,,,0
51,"@davialcolumbre @SenadoFederal @jairbolsonaro Vai chegar mais um recesso e o congresso não aprovou nenhuma reforma. 
Não liberou o banco central, não privatizou nada.
Vocês além de gastar muito não fazem nada.",0,2020-11-17 15:38:28,1026909588833160960,santosdfabio,2716763753.0,davialcolumbre,0
52,"@irbr3allin2 Com os bancos, aéreas e tecs em alta esse papel é um dos mais descontados com a IBOV a 107k. Vai virar de repente, só o conchavo dos grandes acabar....",2,2020-11-18 20:14:55,235270442,Feemaciel,1.315402347007431e+18,irbr3allin2,0
53,"Nos últimos dias, um assunto do setor financeiro ganhou as páginas dos jornais e o interesse de muitas pessoas: o PIX, um sistema de pagamentos e transferências recém-criado pelo Banco Central. 

Inscreva-se: https://t.co/hKFWRcpiHM https://t.co/9Zl1KZcaWi",1,2020-11-17 21:48:26,913184147451064320,damasiotaboao,,,0
54,"@suvinador Agora não é recomendável de jeito nenhum usar para pagamento de serviço, por exemplo. Se vc.é prestador, é muito arriscado receber por pix pq a política do banco central é de que, caso o pagador declare que a transferência foi fraude, devolve o dinheiro sem questionar o recebedor",0,2020-11-17 17:40:12,2939849314,luiszerirrane,2939849314.0,luiszerirrane,0
55,O que você faz com o IBOV de lado? https://t.co/upri4AGVEF,0,2020-11-20 23:30:15,1284193568853242112,tcmemesbr,,,15
56,"@PLynchado Pode ser, mas tenho dúvidas. O movimento no IBOV tem muita simetria. Está parecendo a pernada de 18/05-09/06. Será?  Esse IFR ainda nos 63 indica que  há espaço... Tomara 😂",2,2020-11-18 15:25:34,1162810373231264000,MrTrillionss,1.151295952386515e+18,PLynchado,0
57,@Estadao @EstadaoEconomia Que triste meu Brasil. Um pais que depende de exportação para se mandar vivo? Que tem 50% do povo vivendo com menos de 500 reais por mês? E um ministro da economia que odeia POBRES. E que só entende de bolsa de valores? Quer vender tudo? Privatizar tudo?,0,2020-11-19 12:21:50,1297669569876832000,carlosriconbr,9317502.0,Estadao,0
58,"🇺🇸#BRDdoDia

📈#COTY34 +12,34% (R$16,11)

#Coty, Inc. é uma empresa multinacional de cosméticos fundada em 1904 na França por François Coty.

#BDR #Investimentos #Trader #Ibovespa #ibov #B3",1,2020-11-19 17:34:54,1326874841107099904,terraevo,,,0
59,Moeda reage a fluxo e após comunicado de ontem do Banco Central ser lido como um sinal de que a autoridade pode atuar para evitar uma disparada das cotações com ajuste associado à regra para overhedge.,2,2020-11-17 18:18:54,1304887300355170048,zbninvest,1.30488730035517e+18,zbninvest,0
60,"Cielo compra fatia remanescente na Multidisplay por R$ 29,8 milhões
https://t.co/WzUwPuCT4s",1,2020-11-20 12:36:08,1113533606247436032,valorinveste,,,1
61,Só no mês da Carbon Friday: CDB com taxas de rentabilidade de até 140% do CDI. 🔥 https://t.co/IoaYcwl9kk,2,2020-11-20 00:15:21,973547135273787392,C6Bank,,,0
63,"O #Ibov atingiu a maior alta desde março deste ano, subindo 1,7%, a 106.503 pts. A notícia do teste bem-sucedido da vacina da Moderna sustentou o bom humor no mercado. Destaque para as companhias aéreas, com #AZUL4 subindo 11,03% e #GOLL4 subindo 9,15%. Dólar caiu 0,6%, a R$5,42.",2,2020-11-16 21:10:15,1283813215118536960,interinvest,,,2
64,"Bom dia, meu Brasil Brasileiro! O quê podemos falar de uma América Latina que não se importa com a existência dos maiores campos de concentração do século XXI? O quê podemos falar de um país que não se comove com a independência do seu Banco Central? 🇧🇷 
Vamos nos cuidar! 👉👉😷 https://t.co/4rdu5J832H",0,2020-11-16 09:07:23,61581351,FafaSchmitt,,,2
65,"WhatsApp Pay chegará em breve para pessoas, confirma Banco Central -&gt; https://t.co/TxfdjmzGMx https://t.co/M6AK1lAneR",1,2020-11-17 21:25:49,81028461,br_economico,,,0
66,"O Banco Central anunciou nesta sexta-feira (dia 13) que permitirá aos empregadores utilizar o Pix para recolher suas contribuições ao FGTS (Fundo de Garantia por Tempo de Serviço).
https://t.co/ClIMqMTY1v",1,2020-11-15 22:13:02,14306125,tvcultura,,,0
67,"Linx fecha em alta de 3% em dia de assembleia para deliberar aquisição da Stone
https://t.co/UIECr2Ubre",2,2020-11-17 21:49:44,1113533606247436032,valorinveste,,,3
69,"@naoguera @nubank Exatamente, a mesma coisa de um banco recusar uma TED de alguém específico. Não poder copiar e compartilhar a chave aleatória é claramente para forçar o registro das outras chaves. Já estou abrindo uma reclamação no banco central contra @nubank  e @Bancointer. Mesmo problema",0,2020-11-18 20:13:50,1040058296055619968,AlecSi1va,2216000111.0,naoguera,0
70,@cafecomferri Estão querendo comprar IBOV nos 125k.,2,2020-11-17 15:53:43,380892410,ario_2025,437824506.0,cafecomferri,0
72,"Douglas mandando um: se eu fosse tão inteligente quanto a chineri (eu) é, eu seria multi milionário

PELO AMOR DE DEUS DOUGLAS VOCÊ FALA 6 IDIOMAS, INVESTE NA BOLSA DE VALORES E O CARALHO A 4  EU SOU UM 0 A ESQUERDA",0,2020-11-19 19:53:14,735071145238638592,yoongikosmo,,,0
73,"@knalquestionese Nem tudo. A moeda digital, por exemplo, que levará a um controle total sobre nós, vai ser implementada pelo nosso banco Central. Disso nenhum país vai escapar. https://t.co/6Ik01pIMxq",0,2020-11-19 13:04:10,1090422092045185024,Chikomag,38882862.0,knalquestionese,0
74,"@xurupitai @Akch4n @tevds @felipeneto Não, eu contei por cima, entretanto são aproximadamente 3,5 milhões de pessoas na bolsa de valores, e olha que engraçado a bolsa deu o BOOM na pandemia, as pessoas foram para a bolsa pq viram uma oportunidade e a maioria é classe média",2,2020-11-15 03:20:10,1091819788026953984,leozin_five2,85140279.0,xurupitai,0
75,O Banco Central lançou um novo sistema de pagamento instantâneo que começa a operar no País chamado PIX. Você já ouviu falar e conhece? Vote: https://t.co/3QfmHYWVmf #ALECE #EnqueteDaSemana #PIX,1,2020-11-16 16:36:25,62514462,Assembleia_CE,,,0
76,"Nos últimos dias, um assunto do setor financeiro ganhou as páginas dos jornais e o interesse de muitas pessoas: o PIX, um sistema de pagamentos e transferências recém-criado pelo Banco Central. 

Inscreva-se: https://t.co/hKFWRcpiHM https://t.co/t53w1tDXdy",1,2020-11-15 21:48:29,913184147451064320,damasiotaboao,,,0
77,"Faça seu Seguro com quem conhece de Seguro.
Procure a Empresa mais avaliada no Banco Central 
Acesse ao nosso link:
https://t.co/9rsRfxHLYf
#projetomeuportoseguro #portoseguro #seguroauto #segurodecarro #segurodemoto #azulseguros #segurodeveiculos
#seguroveicular https://t.co/xTonbmebSF",1,2020-11-19 10:28:48,1261297289647345920,ANDRELU32242534,,,0
78,@Cardoso2964 @AntiArgumentos Se existe um banco central tua alma ja ta vendida pra ele tu só não sabe disso ainda,0,2020-11-17 03:26:20,1104848760797053056,Art77_H,9.78758081046868e+17,Cardoso2964,0
79,"@elisinhapopstar AAAAAAAAAAAAAAAAA mds, agora eu entendi, meu cérebro ainda tá processando, mas eu entendi sim
Lembrei quando a minha professora falou da bolsa de valores quando eu ainda fazia adm (tá explicado o pq eu nunca terminei né)",1,2020-11-21 18:08:12,1256302848595418880,thaliaharg,755622757.0,elisinhapopstar,0
80,"BC lança Pix e promete cashback e pagamentos programados como novidades à frente
BC lança Pix e promete cashback e pagamentos programados como novidades à frente - O presidente do Banco Central, Roberto Campos Neto, afirmou que o Pix, sistema  #bancocentra https://t.co/jUItFYJJS0 https://t.co/1dwWw3tuUX",1,2020-11-17 15:21:03,835849072808448000,i9treinamentosb,,,0
81,@moreira_uallace Ele tem um bico no Banco Central do Brasil. Mas ninguém tem compromisso verdadeiro com um bico. Seu centro de interesse é o EUA. Lá estão as coisas que lhe são mais caras. O bico fica no Brasil.,0,2020-11-20 23:19:23,938093459872931840,BRAdesenvolvido,1.25328318021761e+18,moreira_uallace,0
82,"Se estivessem preocupados com a bolsa de valores, não teriam o porque ficarem militando! https://t.co/exzZ0bxfy1",0,2020-11-19 20:29:24,1298456972208016896,lexcxrp,,,0
83,@OL_thaiis @docinhodacoreia @babi Acho que vc tem um tempo pra trocar no banco central,1,2020-11-21 16:07:28,611091521,santananina_,168552710.0,OL_thaiis,0
84,"@amariccana @popoinhaa Que nada, vou investir essa grana na bolsa de valores",2,2020-11-17 02:21:57,1133804941393497984,vitorramos191,7.203591986730148e+17,amariccana,0
85,Fiz uns investimentos e tô me sentindo um tiozão rico que fica analisando bolsa de valores.,2,2020-11-18 13:16:48,174732134,indomminus,,,0
87,"Decisão do Copom será divulgada a partir de 18h30, diz Banco Central

https://t.co/KnBKvkFPGr #SemCategoria #BancoCentral #Bancos #Copom #Economia #Reuters",1,2020-11-18 07:27:21,1173670465220595968,geladog_,,,0
88,#fintwit cheia quando ibov sobe...,2,2020-11-17 19:22:16,39909617,ronnysnake,,,0
89,"@schott_emanuel @rafaelmendesbh @rvitoria Acredito que o Banco Central, por ser um ***BANCO CENTRAL***, tem alta ligação ao governo. Não acho que suas transações ficam guardadas no sistema do Banco Central não, viu! Já o Pix, sim. E por (como eu disse anteriormente) ser mais ligado ao gov, a RF tem melhor acesso...",1,2020-11-17 16:31:27,1248879895268282112,neieiat,1.324621174693921e+18,schott_emanuel,0
90,"@andreagues Conforme resolução 20 do Banco Central, os limites de envio de valores pela solução PIX variam conforme critérios. O limite do PIX é compartilhado com o limite parametrizado para transferências.",1,2020-11-19 14:54:03,83723557,BancodoBrasil,73933329.0,andreagues,0
91,"$IBOV fechou nos 106.119pts em queda de 📉-1,05%.
Boa noite pessoal!  As 5 ações com maior volume no dia de hoje foram: $PETR $VALE $BBDC $ITUB e a novidade do dia na lista: $AZUL +4,41% 📈 com 1,11bi negociados.📊Fechamento de Mercado de hoje 18/11/2020 https://t.co/aq8OhFdXU9 https://t.co/tWTmxWHG6s",0,2020-11-18 22:07:01,39258403,PabloSangalli,,,0
92,@mannuyyyyy Se n me engano quando tá rasgada vc pode levar no banco central que eles te dão outra mas cortada ao meio não sei se fazem,1,2020-11-21 00:02:07,758005796,siqueira_kaa,334658323.0,mannuyyyyy,0
93,"@PauloBugalho Olá! Para análise do que está acontecendo, oriento que realize o registro por aqui: https://t.co/J4EDVzmr2U. Depois que vc finalizar, será gerado um número de protocolo que pode ser consultado pela central SAC 0800 704 8383. https://t.co/AZr1IzXD1m",1,2020-11-16 18:03:26,79184083,Bradesco,331642499.0,PauloBugalho,0
94,"O Banco Central divulgou o balanço de operação do primeiro dia de Pix, novo sistema de pagamentos instantâneos. https://t.co/Q8GNM8EM3E",1,2020-11-17 00:39:35,126750296,jornal_cultura,,,3
95,@True_Senkai @ReadTYPEMOON É mais fácil você ficar rico com literais Stonks em bolsa de valores do que Berserk acumular,2,2020-11-19 00:51:49,865596751515987968,Luiz09815,8.468776395792384e+17,True_Senkai,0
96,ansiosissimo pra fazer meu primeiro investimento na bolsa de valores hoje,2,2020-11-17 15:12:08,1122696224665154048,guiguiiinha,,,0
97,"Bolsa de valores cai 0,59% e dólar tem maior alta diária desde outubro https://t.co/ZrsxChBf29",0,2020-11-21 10:31:58,2214094837,JOSEESDRIBEIRO,,,0
98,A evolução do mercado de cartões de crédito no Brasil após o Banco Central dar fim ao monopólio das maquininhas. https://t.co/BhqwA5Ptxn,1,2020-11-20 14:45:00,1004859441303481984,qrcapital,,,12
99,"@felipehime Acho que Ted e doc tb depende do banco central, se for isso, ai só na base do dinheiro, mas se bem que o dinheiro foi emitido pela casa da moeda...",1,2020-11-17 19:20:05,710491948306583552,wtf_alejr,4632907401.0,felipehime,0
100,O Banco Central inventou o PIX gratuito para pessoas físicas. Legal. Agora o Paulo Guedes quer taxar o PIX.,1,2020-11-21 13:08:48,191604493,mirellabarrosc,,,0
101,@Pedriin_Braga Kkkkkkkkkkkkkkkkkkkkkkkkkkk investindo  na bolsa de valores,2,2020-11-21 12:37:08,951555917937594368,PetherVasc03,9.618140011171144e+17,Pedriin_Braga,0
102,Curtindo umas de investir na bolsa de valores. Muitas possibilidades.,2,2020-11-16 13:42:04,46547694,osmarzaozao,,,0
103,O Banco Central tem uma conta no GitHub.,1,2020-11-16 20:49:48,65806495,ghalox,,,0
104,"Diminua o número de pessoas achando que a Bolsa de Valores causa problemas para o país, dê de presente ""Pai Rico e Pai Pobre"" para quem vc ama.

O Brasil agradece.

Retuítem, por favor.

https://t.co/FL4X65tcEF",2,2020-11-18 18:27:57,1322153581655564032,Investreadsbr,,,8
105,@felipeneto Bolsa de valores ? https://t.co/WgqcWtyhkO,1,2020-11-20 20:03:54,1309561860316951040,lives_batman,14128609.0,felipeneto,0
106,"@JovemPanNews Ridículo a bolsa fechada hoje.. tem que criar outra opção, dividir o índice ibov em 2 ou 3 .. vamoooooooo 💪🇧🇷🇧🇷",0,2020-11-20 14:59:28,933180723774623744,JucaJoeTV,106175018.0,JovemPanNews,0
107,@izafiu_ Banco Central registra aumento histórico da compra e consumo de arroz no Brasil,2,2020-11-18 01:39:55,1238551162892288000,jaoaguiar31,4502429067.0,izafiu_,0
108,"@ashyoungblood_ Heusheusheu
Venha ver meu circuito de redstone que calcula os riscos da renda variável",1,2020-11-16 19:52:23,1213293132701289984,anormalyoungman,1.048578016845152e+18,ashyoungblood_,0
109,"Caraí essa bolsa de valores dá muito dinheiro a curto médio e longo prazo, 220% em 20 dias não é brincadeira.",2,2020-11-19 14:07:13,4718281228,GuuthyerreLucas,,,0
110,"IBOVESPA CAI 0,5% E CONTRARIA MERCADOS INTERNACIONAIS; DÓLAR TAMBÉM RECUA, A R$ 5,30.
https://t.co/l6SelliQ2O
#spacemoney #spacenow #IBOV #dolfut",0,2020-11-18 14:34:58,1108804470237027968,br_spacemoney,,,0
111,"E, claro, o primeiro processo foi dizer que economia era uma ciência, logo, pensar economicamente e acabar com o assistencialismo era o ""racional"" a se fazer. Bom, com a economia dominando a política, foi bastante fácil transformar o Estado em uma bolsa de valores.",0,2020-11-18 14:45:44,993533870707544064,fagneragkfs,9.93533870707544e+17,fagneragkfs,0
112,Me diz quantos pontos a bolsa de valores subiu após mais uma oferenda ao Deus-Mercado? Mais um corpo humano em frangalhos pra agradar um punhado de ricos. Aí a sua pauta conservadora posta em prática.,0,2020-11-20 13:50:05,1092211628190387968,rmello82,,,0
113,"Na história do Brasil, há registros de grandes fluxos de entrada e saída de Investimento Direto Estrangeiro, na economia. Em nenhum desses momentos, a direção do Banco Central foi o motivo desses movimentos. O motivo é o governo, sempre.",1,2020-11-19 19:21:41,81088939,enioverri,81088939.0,enioverri,0
114,"✅A bolsa de valores de São Paulo até que começou o dia em alta, muito puxada pela ação da PetroRio (PRIO3), que comprou participações de dois blocos no pré-sal da BP e disparou. Mas, depois, o jogo virou.",0,2020-11-19 17:42:56,1317093876851671040,HOWBrBusiness_,1.317093876851671e+18,HOWBrBusiness_,1
115,"✅Começa a funcionar nesta segunda (16) o aguardado sistema de pagamentos instantâneos do Banco Central (BC), o Pix.",1,2020-11-18 16:22:09,1317093876851671040,HOWBrBusiness_,1.317093876851671e+18,HOWBrBusiness_,1
