tweet;Sentimento
"Discutir a queda do capitalismo no Brasil desvinculado de raça, classe e gênero é no mínimo uma imbecilidade ou uma perda de tempo daqueles que acham que o marxismo é apenas ação européia e não referência teórica internacional.
https://t.co/FwljZGmA71";0
@igorlt Presta atenção se ao receber vão cobrar alguma coisa, porque ouvi na CNN Rádio hoje que os bancos conseguiram essa brecha com o Banco Central.;1
"Rede D’Or, Notredame, Qualicorp, Santander e mais: veja destaques de empresas
https://t.co/B5KPc6gMiA";1
"#IBOV opera em queda de -0,01% cotado em 106.111 pontos, agora (15h54)

Principais altas do índice 📊: #PRIO3 #GOLL4 #CVCB3

Principais quedas do índice 📊: #BRFS3 #MRFG3 #COGN3";0
"A mão invisível do mercado é branca e está manchada de sangue

https://t.co/Sycs8HsT0M";0
"@Redatora_que_le socorro eu falando de bolsa de valores, jamaaaaais hausahusuhaus
é world of warcraft. tá rolando um evento que tem um boss raro que tem chance de te dar uma bolsa maior q todas as outras no jogo, então... na falta do q fazer, to tentando pegar a bolsa em todos os meus personagens";2
agora sou autor do PLP 27/2020 na Câmara dos Deputados e é fruto de um diálogo constante com a OCB e com o Banco Central. A ideia é modernizar a governança, profissionalizar ainda mais a gestão e trazer a possibilidade de novos negócios. Tenho certeza de que,;1
@FlaSaci @Rubro1981 Concordo com vc, mas nos últimos jogos ele jogou como central no ataque. Quando jogava assim com JJ metia logo um hat trick. Ele ta errando tudo que tenta, nitidamente o problema dele é psicológico. Ficar no banco, e jogar 30 min ja com o adversário cansado, é mais fácil tbm.;1
@BREEZE_FPS @gonfps_ Breezin, me chama na dm viado, cheguei de viagem agora e to exausto, daí amanhã quando eu acordar já te falo sobre um curso bom e se quiser qualquer ajuda, sou ratinho da bolsa de valores.;2
"Oxfam Brasil classifica como “ato bárbaro” assassinato de homem negro em unidade Carrefour
https://t.co/sLefpzlUvL";1
O Pix, novo sistema de pagamento instantâneo brasileiro, estreou nesta segunda-feira com mais de 30 milhões de pessoas cadastradas. A tecnologia desenvolvida pelo Banco Central já está disponível para clientes de vários bancos. https://t.co/R6dJwhFgig;1
"@davialcolumbre @SenadoFederal @jairbolsonaro Vai chegar mais um recesso e o congresso não aprovou nenhuma reforma. 
Não liberou o banco central, não privatizou nada.
Vocês além de gastar muito não fazem nada.";0
@irbr3allin2 Com os bancos, aéreas e tecs em alta esse papel é um dos mais descontados com a IBOV a 107k. Vai virar de repente, só o conchavo dos grandes acabar....;2
"Nos últimos dias, um assunto do setor financeiro ganhou as páginas dos jornais e o interesse de muitas pessoas: o PIX, um sistema de pagamentos e transferências recém-criado pelo Banco Central. 

Inscreva-se: https://t.co/hKFWRcpiHM https://t.co/9Zl1KZcaWi";1
@suvinador Agora não é recomendável de jeito nenhum usar para pagamento de serviço, por exemplo. Se vc.é prestador, é muito arriscado receber por pix pq a política do banco central é de que, caso o pagador declare que a transferência foi fraude, devolve o dinheiro sem questionar o recebedor;0
O que você faz com o IBOV de lado? https://t.co/upri4AGVEF;0
@PLynchado Pode ser, mas tenho dúvidas. O movimento no IBOV tem muita simetria. Está parecendo a pernada de 18/05-09/06. Será?  Esse IFR ainda nos 63 indica que  há espaço... Tomara 😂;2
@Estadao @EstadaoEconomia Que triste meu Brasil. Um pais que depende de exportação para se mandar vivo? Que tem 50% do povo vivendo com menos de 500 reais por mês? E um ministro da economia que odeia POBRES. E que só entende de bolsa de valores? Quer vender tudo? Privatizar tudo?;0
"🇺🇸#BRDdoDia

📈#COTY34 +12,34% (R$16,11)

#Coty, Inc. é uma empresa multinacional de cosméticos fundada em 1904 na França por François Coty.

#BDR #Investimentos #Trader #Ibovespa #ibov #B3";1
Moeda reage a fluxo e após comunicado de ontem do Banco Central ser lido como um sinal de que a autoridade pode atuar para evitar uma disparada das cotações com ajuste associado à regra para overhedge.;2
"Cielo compra fatia remanescente na Multidisplay por R$ 29,8 milhões
https://t.co/WzUwPuCT4s";1
Só no mês da Carbon Friday: CDB com taxas de rentabilidade de até 140% do CDI. 🔥 https://t.co/IoaYcwl9kk;2
O #Ibov atingiu a maior alta desde março deste ano, subindo 1,7%, a 106.503 pts. A notícia do teste bem-sucedido da vacina da Moderna sustentou o bom humor no mercado. Destaque para as companhias aéreas, com #AZUL4 subindo 11,03% e #GOLL4 subindo 9,15%. Dólar caiu 0,6%, a R$5,42.;2
"Bom dia, meu Brasil Brasileiro! O quê podemos falar de uma América Latina que não se importa com a existência dos maiores campos de concentração do século XXI? O quê podemos falar de um país que não se comove com a independência do seu Banco Central? 🇧🇷 
Vamos nos cuidar! 👉👉😷 https://t.co/4rdu5J832H";0
"WhatsApp Pay chegará em breve para pessoas, confirma Banco Central -&gt; https://t.co/TxfdjmzGMx https://t.co/M6AK1lAneR";1
"O Banco Central anunciou nesta sexta-feira (dia 13) que permitirá aos empregadores utilizar o Pix para recolher suas contribuições ao FGTS (Fundo de Garantia por Tempo de Serviço).
https://t.co/ClIMqMTY1v";1
"Linx fecha em alta de 3% em dia de assembleia para deliberar aquisição da Stone
https://t.co/UIECr2Ubre";2
@naoguera @nubank Exatamente, a mesma coisa de um banco recusar uma TED de alguém específico. Não poder copiar e compartilhar a chave aleatória é claramente para forçar o registro das outras chaves. Já estou abrindo uma reclamação no banco central contra @nubank  e @Bancointer. Mesmo problema;0
@cafecomferri Estão querendo comprar IBOV nos 125k.;2
"Douglas mandando um: se eu fosse tão inteligente quanto a chineri (eu) é, eu seria multi milionário

PELO AMOR DE DEUS DOUGLAS VOCÊ FALA 6 IDIOMAS, INVESTE NA BOLSA DE VALORES E O CARALHO A 4  EU SOU UM 0 A ESQUERDA";0
@knalquestionese Nem tudo. A moeda digital, por exemplo, que levará a um controle total sobre nós, vai ser implementada pelo nosso banco Central. Disso nenhum país vai escapar. https://t.co/6Ik01pIMxq;0
@xurupitai @Akch4n @tevds @felipeneto Não, eu contei por cima, entretanto são aproximadamente 3,5 milhões de pessoas na bolsa de valores, e olha que engraçado a bolsa deu o BOOM na pandemia, as pessoas foram para a bolsa pq viram uma oportunidade e a maioria é classe média;2
O Banco Central lançou um novo sistema de pagamento instantâneo que começa a operar no País chamado PIX. Você já ouviu falar e conhece? Vote: https://t.co/3QfmHYWVmf #ALECE #EnqueteDaSemana #PIX;1
"Nos últimos dias, um assunto do setor financeiro ganhou as páginas dos jornais e o interesse de muitas pessoas: o PIX, um sistema de pagamentos e transferências recém-criado pelo Banco Central. 

Inscreva-se: https://t.co/hKFWRcpiHM https://t.co/t53w1tDXdy";1
"Faça seu Seguro com quem conhece de Seguro.
Procure a Empresa mais avaliada no Banco Central 
Acesse ao nosso link:
https://t.co/9rsRfxHLYf
#projetomeuportoseguro #portoseguro #seguroauto #segurodecarro #segurodemoto #azulseguros #segurodeveiculos
#seguroveicular https://t.co/xTonbmebSF";1
@Cardoso2964 @AntiArgumentos Se existe um banco central tua alma ja ta vendida pra ele tu só não sabe disso ainda;0
"@elisinhapopstar AAAAAAAAAAAAAAAAA mds, agora eu entendi, meu cérebro ainda tá processando, mas eu entendi sim
Lembrei quando a minha professora falou da bolsa de valores quando eu ainda fazia adm (tá explicado o pq eu nunca terminei né)";1
"BC lança Pix e promete cashback e pagamentos programados como novidades à frente
BC lança Pix e promete cashback e pagamentos programados como novidades à frente - O presidente do Banco Central, Roberto Campos Neto, afirmou que o Pix, sistema  #bancocentra https://t.co/jUItFYJJS0 https://t.co/1dwWw3tuUX";1
@moreira_uallace Ele tem um bico no Banco Central do Brasil. Mas ninguém tem compromisso verdadeiro com um bico. Seu centro de interesse é o EUA. Lá estão as coisas que lhe são mais caras. O bico fica no Brasil.;0
Se estivessem preocupados com a bolsa de valores, não teriam o porque ficarem militando! https://t.co/exzZ0bxfy1;0
@OL_thaiis @docinhodacoreia @babi Acho que vc tem um tempo pra trocar no banco central;1
@amariccana @popoinhaa Que nada, vou investir essa grana na bolsa de valores;2
Fiz uns investimentos e tô me sentindo um tiozão rico que fica analisando bolsa de valores.;2
"Decisão do Copom será divulgada a partir de 18h30, diz Banco Central

https://t.co/KnBKvkFPGr #SemCategoria #BancoCentral #Bancos #Copom #Economia #Reuters";1
#fintwit cheia quando ibov sobe...;2
@schott_emanuel @rafaelmendesbh @rvitoria Acredito que o Banco Central, por ser um ***BANCO CENTRAL***, tem alta ligação ao governo. Não acho que suas transações ficam guardadas no sistema do Banco Central não, viu! Já o Pix, sim. E por (como eu disse anteriormente) ser mais ligado ao gov, a RF tem melhor acesso...;1
@andreagues Conforme resolução 20 do Banco Central, os limites de envio de valores pela solução PIX variam conforme critérios. O limite do PIX é compartilhado com o limite parametrizado para transferências.;1
"$IBOV fechou nos 106.119pts em queda de 📉-1,05%.
Boa noite pessoal!  As 5 ações com maior volume no dia de hoje foram: $PETR $VALE $BBDC $ITUB e a novidade do dia na lista: $AZUL +4,41% 📈 com 1,11bi negociados.📊Fechamento de Mercado de hoje 18/11/2020 https://t.co/aq8OhFdXU9 https://t.co/tWTmxWHG6s";0
@mannuyyyyy Se n me engano quando tá rasgada vc pode levar no banco central que eles te dão outra mas cortada ao meio não sei se fazem;1
@PauloBugalho Olá! Para análise do que está acontecendo, oriento que realize o registro por aqui: https://t.co/J4EDVzmr2U. Depois que vc finalizar, será gerado um número de protocolo que pode ser consultado pela central SAC 0800 704 8383. https://t.co/AZr1IzXD1m;1
O Banco Central divulgou o balanço de operação do primeiro dia de Pix, novo sistema de pagamentos instantâneos. https://t.co/Q8GNM8EM3E;1
@True_Senkai @ReadTYPEMOON É mais fácil você ficar rico com literais Stonks em bolsa de valores do que Berserk acumular;2
ansiosissimo pra fazer meu primeiro investimento na bolsa de valores hoje;2
Bolsa de valores cai 0,59% e dólar tem maior alta diária desde outubro https://t.co/ZrsxChBf29;0
A evolução do mercado de cartões de crédito no Brasil após o Banco Central dar fim ao monopólio das maquininhas. https://t.co/BhqwA5Ptxn;1
@felipehime Acho que Ted e doc tb depende do banco central, se for isso, ai só na base do dinheiro, mas se bem que o dinheiro foi emitido pela casa da moeda...;1
O Banco Central inventou o PIX gratuito para pessoas físicas. Legal. Agora o Paulo Guedes quer taxar o PIX.;1
@Pedriin_Braga Kkkkkkkkkkkkkkkkkkkkkkkkkkk investindo  na bolsa de valores;2
Curtindo umas de investir na bolsa de valores. Muitas possibilidades.;2
O Banco Central tem uma conta no GitHub.;1
"Diminua o número de pessoas achando que a Bolsa de Valores causa problemas para o país, dê de presente ""Pai Rico e Pai Pobre"" para quem vc ama.

O Brasil agradece.

Retuítem, por favor.

https://t.co/FL4X65tcEF";2
@felipeneto Bolsa de valores ? https://t.co/WgqcWtyhkO;1
@JovemPanNews Ridículo a bolsa fechada hoje.. tem que criar outra opção, dividir o índice ibov em 2 ou 3 .. vamoooooooo 💪🇧🇷🇧🇷;0
@izafiu_ Banco Central registra aumento histórico da compra e consumo de arroz no Brasil;2
"@ashyoungblood_ Heusheusheu
Venha ver meu circuito de redstone que calcula os riscos da renda variável";1
Caraí essa bolsa de valores dá muito dinheiro a curto médio e longo prazo, 220% em 20 dias não é brincadeira.;2
"IBOVESPA CAI 0,5% E CONTRARIA MERCADOS INTERNACIONAIS; DÓLAR TAMBÉM RECUA, A R$ 5,30.
https://t.co/l6SelliQ2O
#spacemoney #spacenow #IBOV #dolfut";0
"E, claro, o primeiro processo foi dizer que economia era uma ciência, logo, pensar economicamente e acabar com o assistencialismo era o ""racional"" a se fazer. Bom, com a economia dominando a política, foi bastante fácil transformar o Estado em uma bolsa de valores.";0
Me diz quantos pontos a bolsa de valores subiu após mais uma oferenda ao Deus-Mercado? Mais um corpo humano em frangalhos pra agradar um punhado de ricos. Aí a sua pauta conservadora posta em prática.;0
Na história do Brasil, há registros de grandes fluxos de entrada e saída de Investimento Direto Estrangeiro, na economia. Em nenhum desses momentos, a direção do Banco Central foi o motivo desses movimentos. O motivo é o governo, sempre.;1
✅A bolsa de valores de São Paulo até que começou o dia em alta, muito puxada pela ação da PetroRio (PRIO3), que comprou participações de dois blocos no pré-sal da BP e disparou. Mas, depois, o jogo virou.;0
✅Começa a funcionar nesta segunda (16) o aguardado sistema de pagamentos instantâneos do Banco Central (BC), o Pix.;1
@fabiolfneto @_brennorr @yasminmourao1 @edumachado1003 @rafabqueiroga @caio_alencvstrx Nao sei se voce sabe kra, mas se vc entrar no banco central la vai ter umas impressoreas enormes, o estado controla a circulação de notas no país baseado em quando capital o brasil tem em vigor no país, isso se chama INFLAÇÃO;0
@PtpPaula Site do Banco Central!;1
@moreira_uallace @cynaramenezes Supernormal, ainda mais com a independência do Banco Central;1
"Balanços: Impacto do fim do auxílio emergencial nas empresas ainda é incerto, diz Santander
https://t.co/5FZgiCTpoT";1
@LiviaCorregio @liamsatanist @arthurbbmp57 @nstefany16 @pensologoehisto Parabéns vai lá investir na sua bolsa de valores,tá perdendo seu tempo aqui discutindo cmg kkkkjk;2
"@Darthwell_ @wellitonAlves @Estadao @EstadaoPolitica Que inveja tenho do Argentinos. Como é bom ter presidente, não é mesmo?
https://t.co/v7YG8wfRvv

https://t.co/SShMOYbQlw

https://t.co/ElsUaVXmrw

https://t.co/EesvJafnvu

https://t.co/xcTmjMwndF

https://t.co/30accIVOPl

https://t.co/7w0xqvY5rY

https://t.co/urYNHo1fVF";1
@fernandogalvaof Infelizmente ele mesmo se perde no que ele prega e defende...Felipe  Neto vive em contradição, ou melhor, ele sabe pra quem ele escreve e fala. Toda palavra, vírgula e exclamação tem um pq, contexto e rentabilidade.;0
@PaulinhoSerra Velho, o Brasil é tão escroto que as ações do Carrefour subiram, depois do evento (https://t.co/yeqIrcf12K).;2
@jpmourasimoes @Ritaeducamassas @VMMFernandes Mas quem é que diz que é diferente? Se não tiveres rentabilidade para a Segurança Social de quem trabalha contigo o que deixas de pagar? IVA? IRS? SS? Ordenados? Água? Luz? Gás? Fechas a porta? Escolhe.;0
@FelipeTadewald Sim mas também seria bom ter pegado os títulos públicos pre fixado com 12/15 % se rentabilidade né. Tem que surfar em todas as pontas.;2
Sim,Boulos vai prejudicar os investidores. Com a rentabilidade que a maioria tem de 14,996% A.M vocês acham mesmo que isso mudará alguma coisa? A me poupe.;0
@maqui_nobrega Nenhum banco queria pix de graça não. O Banco Central obrigou na canetada, agora eles estão tendo achar a fórmula da limonada.;0
"https://t.co/ufu3TNJmFs

O MELHOR ASSALTO AO BANCO CENTRAL!!!- *GTA RP* ft. RAFORE #gtarp #GTAOnline #GTA5 #YouTube #twitch";1
"@Azzidea ""Não é recomendado pelo Banco Central"" kkklkkllkk essa é boa";2
E o banco central que quer criar uma moeda eletrônica https://t.co/fq1342g4sj;1
entrei num grupo de fb da bolsa de valores agora ninguém me segura;2
@Tiagogreis @luizfalvesjr Assim como os investidores PFs.. compare rentabilidade de PFs vs performance dos fundos (que ja é terrivel).. pior ainda;0
"A co-head de Renda Variável, Daniela Bretthauer e a jornalista Juliana Munaro já avisaram: Essa será a melhor #BlackFriday da HISTÓRIA do BRASIL!

A Eleven está com DESCONTOS ATÉ 60% para te ajudar a investir com segurança!

👉 Converse com o nosso time: https://t.co/PjIO8aKEUJ https://t.co/WfDCMjn4pa";2
"MiniDolar Setup Operando Um Pulback No Dólar Após Uma Queda https://t.co/6ZANQ9TirN via @YouTube 

Aprenda a operar na bolsa de valores e alcance sua independência financeira ! Inscreva-se em nosso canal no Youtube e nos acompanhe. Vídeos todos os dias. Curta e compartilhe !";2
Fiz minha primeira transferência por pix, foi super rápido e fácil, obrigado banco central por fazer o mínimo;2
Banco Central permite pagamento de jogos de loteria com Pix https://t.co/esKM3cuDCM;1
@oieaanna aposta em bolsa de valores;2
"Operação de compra fechada com lucro de -200 pontos.
 
Vendendo agora mini índice a 105680
 
#miniindice #ibov #daytrade https://t.co/8dEvPie5Ei";2
"@slowjota @itsricardolopes @anacosta091 mas o ""lucrar"" tem haver com os rendimentos que apresentem. podes estudar perto da universidade pagar 679 de propinas e ter uma bolsa desse valor ou maior, tudo depende dos valores, comprovados e justificados, que apresentes.";1
"#IBOV fechou em queda de -0,59% cotado em 106.042 pontos.

Principais altas do índice 📊: #PCAR3 #IRBR3 #CIEL3

Principais quedas do índice 📊: #PRIO3 #GOLL4 #ECOR3

Assista o Resumo:

https://t.co/n3anwC18sx";0
"mas aí os estudantes de economia vão dizer: “Mas bah, não pode investir só em ação”. Meus dados de “Perdas&amp;Lucros” são prova de que Renda Variável é melhor que Renda Fixa";2
A Míriam Leitão está preocupada com a Amazônia e o Desmatamento da Floresta Amazônica e está fazendo Discurso Rasteiro atacando o Jair Bolsonaro porque o Banco está perdendo Dinheiro na Bolsa de Valores de São Paulo B3?! A Rede Globo não sabia da Madeira Ilegal do BRASIL?!;0
@PRV10Z1TERMINA2 @orlandosilva Eletrobras , Petrobras , Banco do Brasil têm ações em bolsa de valores e são consideradas empresas mistas .;1
@felipeneto Acho que depois dessa declaração  amanhã a Bolsa de Valores vai até cair ou no mínimo vão parar os conflitos no Oriente Médio;0
vcs tão aí criticando que o boulos chamou a bolsa de valores de sp de disneylândia, mas meu parceiro fala pra mim qual único lugar do país que você entra com um contrato de mini índice que custa 25,00 e sai com 130,00 apostando na ibov;2
"@charlie_mouch @HPIEKNY @mauadmah As pessoas não se informam como o Pix funciona e ficam criando teorias da conspiração, acreditam que o Pix é uma ""armadilha"" dos bancos. Não sabem que a ideia do Pix surgiu em 2013 e que o sistema foi totalmente desenvolvido pelo Banco Central, não pelos bancos.";1
"Cheguei no Trem das 7. Vamos ver que no que vai dar.
16.11.2020, 13:30h, IBOV 105k. Biden ganhou mas não levou ainda. Boulos no 2o turno em SP. https://t.co/dIdzthZil1";1
🇧🇷O Boletim Focus voltou a elevar a expectativa pela inflação deste ano, medida pelo IPCA. De acordo com a publicação do Banco Central (BC), os especialistas do mercado esperam que a inflação de 2020 seja de 3,25%. Essa é a 14ª semana consecutiva de aumento nas expectativas.;0
@trinitycaos totalmente negócio é do banco central pode fazer;1
A Pandemia trouxe uma revolução no modo de vida das famílias.   #mercadoimobiliário #EuSócioInvestimentosImobiliários #CondomínioAltodasPedrasResidencialClub #ImobiliáriaAtiva https://t.co/61ctFn9eBr https://t.co/rLsO9bGeN0;0
@CPortugal7 @Central_SPFC_ Discordo, espaço ele teria sim, o problema é q n há rotação no time do SP, pouco se poupa, oq é um problema pq em algum momento alguém pode estourar, e fora o time titular, a gente n tem muitas opções boas no banco n, talvez tche tche q voltou a jogar bem e só.;0
Bolsa de valores opera em instabilidade nesta quinta (19) https://t.co/kGN4bEEaNR;0
@AutistasClub Subindo 3,5% enquanto o ibov cai, agora só falta subir mais 66 pra bater o PM;0
@pedro_bruder @sf2invest 1)Não é simples. Preciso pensar pra não sair chutando. O exemplo do @sf2invest, pra variar, foi íntimo. O Ibov tem uma metodologia para compor a carteira, daí quais critérios para entrar nesse índice. Tem outras empresas fora deste índice que potencialmente podem entrar?;1
Quando descobrir que não ia ficar rico só com a bolsa de valores: https://t.co/poZH55uNvC;0
Bolsa de valores de New York começou o ano  ( Novembro) em recorde de alta. https://t.co/uh99FzsRiW;2
@mariana26282429 e foi nesse papo que Meirelles terminou no Banco Central...;1
Mais uma ilegalidade no desgoverno Bolsonaro: diretor do Banco Central mora nos Estados Unidos https://t.co/hCm9uRNdlG;0
@ANCAPfan_OP @isabeatle @souza_simonne @OLulaEstaPreso @GadoDecider Que eu saiba, ele não criticou a bolsa de valores, ele criticou o mercado que seguiu valorizando as ações dessa empresa podre.;0
TCU explica a Campos Neto alcance de ação de fiscalização no Banco Central https://t.co/skc9V7ZXeX;1
"@VictorAcquafred @faveladoinvest @vinibsantos_ Pelo que ele deixa transparecer em seus posts, tudo que o estado faz é ruim. Ele deveria estudar um pouco países como a Noruega, pra aprender que o mundo não funciona só como os ""economistas liberais"" do Brasil pintam. Lá, por exemplo, o Estado detém 30% da Bolsa de Valores.";1
"Entrada pesada de capital estrangeiro levou o #dolar ao menor nível desde 17 de setembro. Juros se mantiveram estáveis, entre o leilão do Tesouro e falta de avanço das reformas no Congresso. #Ibov volátil, entre -0,54% e +0,80%, encerrou a...

Continuação: https://t.co/LvpaghsfLY";2
"@Estadao Já aconteceu comigo. Não porque queria sonegar mas não sabia que tinha que fazer a declaração de lucros de renda variável no ato da venda.  
A RFB descobriu e veio atrás da sua parte. Até porque a DTVM, certamente declarou a operação com meu CPF. Não foi preciso MP.";1
"#ForbesBR #ForbesMoney
Inflação impacta rentabilidade de títulos prefixados, mostra Anbima https://t.co/ufSZesxapT

#ForbesBrasil #Forbes https://t.co/AErYVZAerZ";1
@helena_brito @nathfinancas Verifica no site do banco central.  Tem um lugar pra consultar;1
A Bolsa de Valores é a Disneylândia Financeira mesmo, agora depender da Previdência Pública não é não... Duas palavras para isso, Para béns 👏🏻👍🏻;2
O trader é o profissional que atua no mercado financeiro realizando operações de compra e venda na bolsa de valores de mercados do mundo todo https://t.co/akWsASYvyf;1
@leandroruschel A SELIC a 2% já está um absurdo!!! Queria muito fazer um curso na bolsa de valores para aprender fazer investimentos no exterior!!!Ter uma rentabilidade de 0,14% ao mês é de chorar!!! E pior ainda, a previdência privada que deu dois meses negativo 😪😪 tô de saco cheio do PG!!!;0
